user_id,life_app_personal_ref_code,life_app_ref_code
1243,Fy7Qp9XQ,aCUvcQVc
1244,NroQa2GH,bY7lWrAw
1245,gRvRfvHI,GisAPr1f
1246,HbRYvFBy,MBPecGah
1247,tKcibws6,EkTr7SBM
1248,mOJ0UYyt,HbRYvFBy
1249,tSQFBfnu,GisAPr1f
1250,1Vp6eaPB,bUpJJ4rL
1251,iXptfTlv,phWWMTLu
1253,1EBff3eF,R9lrJ4Pk
1255,7SY1kkmj,utJiauYv
1257,DGgNCqe3,bog7qSeH
1258,WsrfVz1A,g50bCcYK
1259,kXHF9RWd,x6jlEQt9
1260,qRwdmNSZ,9vTAoyQ6
1261,uZXgbAm4,iw1dtUJy
1262,9r6VfcYC,EkTr7SBM
1263,dtghbQpk,9vTAoyQ6
1265,2stFm38C,g50bCcYK
1266,FxGM7m5j,yON7Sew3
1267,bUpJJ4rL,zXKP3oO1
1268,ReIxf7Xw,g50bCcYK
1270,kG8DO7wP,CYfQL7qd
1271,FqXmTFLW,g50bCcYK
1273,vjl3jzJw,kA4C4ipg
1274,nxWuIO3U,aaAIQaoK
1278,eP1lSwDP,Qj8NZPUV
1279,i7pqtpD3,EkTr7SBM
1281,fg7kRN3G,GisAPr1f
1282,3mkah70N,sLc5KIGC
1283,X5TXMO0M,sLc5KIGC
1285,iZOvXFcp,1emuaPoq
1286,vvQyR0s3,1emuaPoq
1287,C8dQjAt8,k42Op7HK
1288,85BqR9gq,k42Op7HK
1291,RHwBgE9M,rYxn85SC
1293,llchNuYM,XVc3GW5g
1295,vZH0314K,GvyxsEnS
1296,KQu9N481,RqC0fxjW
1300,FF9jKKV2,GvyxsEnS
1301,4fdDkbG8,1emuaPoq
1303,dHgQMpr4,LQfyxCVf
1313,akjBt8Aj,r0V35uWB
1314,ObkiJBSe,YPhUdN0E
1315,JKlVuinm,o5fNLBDC
1317,I0u5oYBy,vOlu5utV
1318,NC071utB,viAc1dUO
1320,zTFT8U6j,tuancao
1321,BqniGxZy,kIh0rodf
1322,wCfPj1vM,kIh0rodf
1323,jfxJ93Fy,kIh0rodf
1324,mY6SVbHZ,kIh0rodf
1325,F6mQi2XV,kIh0rodf
